A- 	not, without
Adventure	dare, venture; engage in adventure.
Adventure playground	Playground with climbing-frames, building blocks, etc.
Adventurer	person who seeks adventure, esp. For personal gain or enjoyment.
Adventurer	financial speculator.
Adventurous	Venturesome, enterprising.
Adverb	Word indicating manner, degree, circumstance, etc., used to modify an adjective, verb, or other adverb
Adversary	enemy, opponent.
Adverse	Unfavourable; harmful.
Adversity	Misfortune, distress.
Advert	Advertisement.
Advertise	promote
Advertise	publicly to increase sales.
Advertise	make generally known.
Advertise	seek by a notice in a newspaper etc. To buy, employ, sell, etc.
Advertisement	public announcement, esp. Of goods etc. For sale or wanted, vacancies, etc.
Advertisement	advertising.
Advice	recommendation on how to act.
Advice	information given; news.
Advice	formal notice of a transaction.
Advisable	To be recommended, expedient.
Advise	Give advice to.
Advise	recommend
Advise	inform.
Advisedly	After due consideration; deliberately.
Adviser	person who advises, esp. Officially.
Advisory	Giving advice
Advocaat	Liqueur of eggs, sugar, and brandy.
Advocacy	Support or argument for a cause, policy, etc.
Advocate	person who supports or speaks in favour.
Advocate	person who pleads for another, esp. In a lawcourt.
Advocate	recommend by argument.
Adz	tool like an axe, with an arched blade at right angles to the handle.
Adze	tool like an axe, with an arched blade at right angles to the handle.
Aegis	Protection; support.
Aeolian harp	Stringed instrument or toy sounding when the wind passes through it.
Aeon	long or indefinite period.
Aeon	an age.
Aerate	charge
Aerate	with carbon dioxide.
Aerate	expose to air.
Aerial	Device for transmitting or receiving radio waves.
Aerial	by or from the air; involving aircraft
Aerial	existing in the air.
Aerial	of or like air.
Aero-	Form air; aircraft.
Aerobatics	spectacular flying of aircraft, esp. To entertain.
Aerobatics	Performance of these.
Aerobics	pl. Vigorous exercises designed to increase oxygen intake.
Aerodrome	Small airport or airfield.
Aerodynamics	pl.
Aerodynamics	Dynamics of solid bodies moving through air.
Aerofoil	Structure with curved surfaces (e.g.
Aerofoil	wing, fin, or tailplane) designed to give lift in flight.
Aeronautics	pl.
Aeronautics	Science or practice of motion in the air.
Aeronautics	Aeronautical
Aeroplane	Powered heavier-than-air flying vehicle with fixed wings.
Aerosol	pressurized container releasing a substance as a fine spray.
Aerosol	system of minute particles suspended in gas
Aerospace	earth's atmosphere and outer space.
Aerospace	aviation in this.
Aesthete	Person who has or professes a special appreciation of beauty.
Aesthete	Person who has or professes a special appreciation of beauty.
Aesthetic	of or sensitive to beauty.
Aesthetic	artistic, tasteful.
Aesthetic	(in
Aesthetic	) Philosophy of beauty, esp. In art.
Aesthetic	Aestheticism
Aetiology	study of causation or of the causes of disease.
Af	Audio frequency.
Afar	At or to a distance.
Affable	friendly.
Affable	courteous.
Affable	Affably
Affair	matter, concern, or thing to be attended to
Affair	a celebrated or notorious happening. B
Affair	Thing or event
Affair	(in
Affair	) Public or private business.
Affect	a produce an effect on.
Affect	Attack.
Affect	move emotionally.
Affect	pretend
Affect	pose as or use for effect
Affect	Affectingly
Affectation	artificial manner.
Affectation	studied display.
Affectation	pretence.
Affected	pretended, artificial.
Affected	full of affectation.
Affection	goodwill, fond feeling.
Affection	disease; diseased condition.
Affectionate	Loving, fond.
Affidavit	Written statement confirmed by oath.
Affiliate	attach, adopt, or connect as a member or branch.
Affiliate	Affiliated person etc.
Affiliation	Affiliating or being affiliated.
Affiliation order	Legal order against the supposed father of an illegitimate child for support.
Affinity	liking or attraction; feeling of kinship.
Affinity	relationship, esp. By marriage.
Affinity	similarity of structure or character suggesting a relationship.
Affinity	chem. The tendency of certain substances to combine with others.
Affirm	assert, state as a fact.
Affirm	law make a solemn declaration in place of an oath.
Affirmative	Affirming; expressing approval.
Affirmative	Affirmative statement or word etc.
Affix	attach, fasten.
Affix	add in writing.
Affix	addition.
Afflict	Distress physically or mentally.
Affliction	distress, suffering.
Affliction	cause of this.
Affluent	Wealthy, rich.
Afford	a have enough money, time, etc., for; be able to spare.
Afford	be in a position
Afford	provide
Afforest	convert into forest.
Afforest	plant with trees.
Affray	Breach of the peace by fighting or rioting in public.
Affront	Open insult.
Affront	Insult openly; offend, embarrass.
Afghan	a native or national of afghanistan.
Afghan	person of afghan descent.
Afghan	official language of afghanistan.
Afghan	Of afghanistan.
Afghan hound	Tall hunting dog with long silky hair.
Aficionado	devotee of a sport or pastime.
Afield	To or at a distance
Aflame	adj.
Aflame	in flames.
Aflame	very excited.
Afloat	adj.
Afloat	floating.
Afloat	at sea.
Afloat	out of debt or difficulty.
Afloat	current.
Afoot	adj. In operation; progressing.
Afore	before; previously; in front
Afore-	Form before, previously
Afore	before; previously; in front
Afore-	Form before, previously
Aforethought	Premeditated
Afraid	Alarmed, frightened.
Afraid	Politely regret
Afresh	Anew; with a fresh beginning.
African	native
African	of africa.
African	person of african descent.
African	Of africa.
African elephant	The elephant of africa, larger than that of india.
African violet	House-plant with velvety leaves and blue, purple, or pink flowers.
Afrikaans	Language derived from dutch, used in s. Africa.
Afrikaner	Afrikaans-speaking white person in s. Africa, esp. Of dutch descent.
Afro	tightly-curled and bushy.
Afro	afro hairstyle.
Afro-	Form african.
Afro-american	Of american blacks or their culture.
Afro-american	American black.
Afro-caribbean	Caribbean person of african descent.
Afro-caribbean	Of afro-caribbeans.
Aft	aeron. At or towards the stern or tail.
After	following in time; later than
After	in view of, in spite of
After	behind
After	in pursuit or quest of
After	about, concerning
After	in allusion to
After	in imitation of
After	next in importance to
After	Later than
After	later
After	behind
After	later, following
After	Nearer the stern
Afterbirth	Placenta etc. Discharged from the womb after childbirth.
After-care	Attention after leaving hospital etc.
After-effect	Delayed effect following an accident, trauma, etc.
Afterglow	Glow remaining after its source has disappeared.
Afterlife	Life after death.
Aftermath	consequences, esp. Unpleasant
Aftermath	new grass growing after mowing.
Afternoon	Time from noon or lunch-time to evening.
Afterpains	pl. Pains caused by contraction of the womb after childbirth.
Aftershave	Lotion used after shaving.
Aftertaste	Taste after eating or drinking.
Afterthought	Thing thought of or added later.
Afterward	later, subsequently.
Afterwards	later, subsequently.
Ag	Silver.
Again	another time; once more.
Again	as previously
Again	in addition
Again	further, besides
Again	on the other hand
Against	in opposition to
Against	into collision or in contact with
Against	to the disadvantage of
Against	in contrast to
Against	in anticipation of
Against	as a compensating factor to
Against	in return for
Agape	Gaping, open-mouthed.
Agaric	Fungus with a cap and stalk, e.g. The common mushroom.
Agate	Hard usu. Streaked chalcedony.
Agate	Hard usu. Streaked chalcedony.
Agave	Plant with rosettes of narrow spiny leaves and flowers on tall stem.
Age	length of time that a person or thing has existed.
Age	(often in
Age	long time
Age	distinct historical period
Age	old age.
Age	show or cause to show signs of advancing age.
Age	grow old.
Age	mature.
Age	8, formerly
Age	1).
-age	forming nouns denoting:
-age	action
-age	condition
-age	aggregate or number
-age	cost
-age	result
-age	place or abode
Aged	Of the age of (aged
Aged	old.
Ageism	Prejudice or discrimination on grounds of age.
Ageless	never growing or appearing old.
Ageless	eternal.
Agelong	Existing for a very long time.
Agency	business or premises of an agent.
Agency	action; intervention
Agenda	list of items to be considered at a meeting.
Agenda	things to be done.
Agent	a person who acts for another in business etc.
Agent	spy.
Agent	person or thing that exerts power or produces an effect.
Agent provocateur	person used to tempt suspected offenders to self-incriminating action.
Age of consent	Age at which consent to sexual intercourse is valid in law.
Age-old	Very long-standing.
Agglomerate	collect into a mass.
Agglomerate	Mass, esp. Of fused volcanic fragments.
Agglomerate	Collected into a mass.
Agglutinate	stick as with glue.
Agglutinate	Agglutinative
Aggrandize	increase the power, rank or wealth of.
Aggrandize	make seem greater.
Aggravate	make worse or more serious.
Aggravate	annoy.
Aggregate	sum total, amount assembled.
Aggregate	crushed stone etc. Used in making concrete.
Aggregate	rock formed of a mass of different particles or minerals.
Aggregate	Combined, collective, total.
Aggregate	collect, combine into one mass.
Aggregate	Amount to.
Aggregate	unite.
Aggregate	Aggregative
Aggression	unprovoked attacking or attack.
Aggression	hostile or destructive behaviour.
Aggressive	given to aggression; hostile.
Aggressive	forceful, self-assertive.
Aggressor	Person or party that attacks without provocation.
Aggrieved	Having a grievance.
Aggro	aggressive hostility.
Aggro	trouble, difficulty.
Aghast	Filled with dismay or consternation.
Agile	Quick-moving, nimble, active.
Agitate	disturb or excite
Agitate	campaign, esp. Politically
Agitate	shake briskly.
Agitate	Agitator
Aglow	Glowing.
Agm	Annual general meeting.
Agnail	Piece of torn skin at the root of a fingernail; resulting soreness.
Agnostic	Person who believes that the existence of god is not provable.
Agnostic	Of agnosticism.
Ago	earlier, in the past.
Agog	Eager, expectant.
Agonize	undergo
Agonize	anguish; suffer or cause to suffer agony.
Agonize	(as agonized
Agonize	) Expressing agony
Agony	extreme mental or physical suffering.
Agony	severe struggle.
Agony aunt	Person (esp.
Agony aunt	woman) who answers letters in an agony column.
Agony column	column in a magazine etc. Offering personal advice to correspondents.
Agoraphobia	Abnormal fear of open spaces or public places.
Agrarian	of the land or its cultivation.
Agrarian	of landed property.
Agrarian	Advocate of the redistribution of land.
Agree	hold the same opinion
Agree	consent
Agree	a become or be in harmony.
Agree	suit
Agree	Have the same number, gender, case, or person as.
Agree	reach agreement about
Agree	decide mutually on
Agreeable	pleasing, pleasant.
Agreeable	willing to agree.
Agreement	act or state of agreeing.
Agreement	arrangement or contract.
Agriculture	Cultivation of the soil and rearing of animals.
Agriculture	Agriculturalist
Agrimony	perennial plant with small yellow flowers.
Agronomy	Science of soil management and crop production.
Aground	On or on to the bottom of shallow water
Ague	hist. Malarial fever.
Ague	shivering fit.
Ah	In the year of the hegira (ad
Ah	22); of the muslim era.
Ah	Expressing surprise, pleasure, realization, etc.
Aha	Expressing surprise, triumph, mockery, etc.
Ahead	further forward in space or time.
Ahead	in the lead
Ahem	Used to attract attention, gain time, etc.
Ahoy	Call used in hailing.
Ai	artificial insemination.
Ai	artificial intelligence.
Aid	Artificial insemination by donor.
Aid	help.
Aid	person or thing that helps.
Aid	help.
Aid	promote
Aid	in support of.
Aid	For the purpose of
Aide	aide-de-camp.
Aide	esp. Us assistant.
Aide-de-camp	officer assisting a senior officer.
Aids	acquired immune deficiency syndrome, an often fatal viral syndrome marked by severe loss of resistance to infection.
Ail	(only in
Ail	rd person
Ail	Or indefinite constructions) trouble or afflict
Ail	be ill.
Aileron	Hinged flap on an aeroplane wing.
Ailing	ill.
Ailing	in poor condition.
Ailment	Minor illness or disorder.
